W	Tr
669.0000	97.58940
670.0000	97.53990
671.0000	97.35710
672.0000	97.40460
673.0000	97.30400
674.0000	97.38300
675.0000	97.26240
676.0000	97.10140
677.0000	97.26490
678.0000	97.35240
679.0000	97.25570
680.0000	97.33850
681.0000	97.31730
682.0000	97.26320
683.0000	97.19220
684.0000	97.03860
685.0000	97.18360
686.0000	97.15750
687.0000	97.22520
688.0000	97.35940
689.0000	97.21350
690.0000	97.15290
691.0000	96.96940
692.0000	97.33510
693.0000	97.11680
694.0000	96.87830
695.0000	97.02040
696.0000	97.12100
697.0000	97.41670
698.0000	97.10000
699.0000	97.37310
700.0000	97.10130
701.0000	97.18550
702.0000	97.43690
703.0000	97.30180
704.0000	97.39350
705.0000	97.38450
706.0000	97.31640
707.0000	97.18810
708.0000	97.02530
709.0000	97.09130
710.0000	97.27170
711.0000	97.16820
712.0000	97.54960
713.0000	97.41780
714.0000	97.03790
715.0000	97.05690
716.0000	96.97490
717.0000	97.05630
718.0000	97.15790
719.0000	97.14950
720.0000	97.22160
721.0000	97.04670
722.0000	97.18640
723.0000	97.13340
724.0000	97.26710
725.0000	97.26480
726.0000	97.22220
727.0000	97.12200
728.0000	97.14180
729.0000	97.25830
730.0000	97.25280
731.0000	96.92980
732.0000	97.01020
733.0000	96.73740
734.0000	96.82590
735.0000	96.90280
736.0000	96.61700
737.0000	96.76100
738.0000	96.66010
739.0000	96.82810
740.0000	96.89480
741.0000	96.63910
742.0000	96.94650
743.0000	96.77760
744.0000	96.61830
745.0000	96.59000
746.0000	96.39910
747.0000	96.27290
748.0000	96.01190
749.0000	95.28230
750.0000	95.23390
751.0000	93.94410
752.0000	92.84270
753.0000	91.68340
754.0000	89.96610
755.0000	87.87650
756.0000	85.52320
757.0000	82.64150
758.0000	79.39330
759.0000	76.70400
760.0000	74.04400
761.0000	71.14170
762.0000	68.30910
763.0000	65.63150
764.0000	63.80510
765.0000	62.05720
766.0000	60.78110
767.0000	59.90130
768.0000	59.49290
769.0000	59.64080
770.0000	60.56200
771.0000	62.43680
772.0000	65.33100
773.0000	68.80010
774.0000	72.91440
775.0000	77.19730
776.0000	80.66160
777.0000	82.01970
778.0000	80.36600
779.0000	76.37200
780.0000	71.20510
781.0000	66.16940
782.0000	61.55180
783.0000	57.39230
784.0000	52.45530
785.0000	47.05130
786.0000	41.28000
787.0000	35.55940
788.0000	30.19780
789.0000	25.62880
790.0000	21.62020
791.0000	18.12280
792.0000	15.24250
793.0000	12.91670
794.0000	11.07760
795.0000	9.53667
796.0000	8.27823
797.0000	7.35024
798.0000	6.48630
799.0000	5.77263
800.0000	5.18395
801.0000	4.71136
802.0000	4.29445
803.0000	3.94150
804.0000	3.63727
805.0000	3.39151
806.0000	3.19154
807.0000	3.01149
808.0000	2.86436
809.0000	2.74162
810.0000	2.63459
811.0000	2.55048
812.0000	2.48217
813.0000	2.42387
814.0000	2.38783
815.0000	2.35496
816.0000	2.33672
817.0000	2.32081
818.0000	2.31305
819.0000	2.31700
820.0000	2.32784
821.0000	2.34461
822.0000	2.36351
823.0000	2.39135
824.0000	2.41777
825.0000	2.45363
826.0000	2.49109
827.0000	2.52409
828.0000	2.56553
829.0000	2.60039
830.0000	2.64819
831.0000	2.69039
832.0000	2.73079
833.0000	2.78118
834.0000	2.83315
