Typical Measured Spectrum of Semrock FF01-492/SP Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 1e-6 (Optical Density 6) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
322.0	0.01736
322.2	0.01358
322.4	0.01062
322.6	0.01042
322.8	0.01099
323.0	0.0116
323.2	0.018
323.4	0.03091
323.6	0.05311
323.8	0.04315
324.0	0.02992
324.2	0.02074
324.4	0.01654
324.6	0.01349
324.8	0.011
325.0	0.00853
325.2	0.00657
325.4	0.00506
325.6	0.00279
325.8	0.0015
326.0	8.1011e-04
326.2	6.7674e-04
326.4	5.7304e-04
326.6	4.8537e-04
326.8	4.3417e-04
327.0	3.8837e-04
327.2	3.4566e-04
327.4	2.7647e-04
327.6	2.2113e-04
327.8	1.8191e-04
328.0	2.0666e-04
328.2	2.3478e-04
328.4	2.7053e-04
328.6	3.4591e-04
328.8	4.423e-04
329.0	5.233e-04
329.2	4.055e-04
329.4	3.1421e-04
329.6	2.6295e-04
329.8	3.0236e-04
330.0	3.4768e-04
330.2	3.1821e-04
330.4	3.062e-04
330.6	3.188e-04
330.8	2.9245e-04
331.0	2.8339e-04
331.2	2.6932e-04
331.4	2.6983e-04
331.6	2.367e-04
331.8	2.5709e-04
332.0	2.594e-04
332.2	2.3094e-04
332.4	2.1526e-04
332.6	2.4767e-04
332.8	2.3645e-04
333.0	2.3719e-04
333.2	2.4852e-04
333.4	2.4116e-04
333.6	2.5512e-04
333.8	2.8457e-04
334.0	2.5542e-04
334.2	2.6616e-04
334.4	3.0798e-04
334.6	3.2897e-04
334.8	4.4052e-04
335.0	5.2801e-04
335.2	5.6041e-04
335.4	5.5523e-04
335.6	5.5038e-04
335.8	5.9897e-04
336.0	6.5295e-04
336.2	7.1378e-04
336.4	8.4092e-04
336.6	0.00117
336.8	0.00257
337.0	0.00985
337.2	0.02865
337.4	0.02801
337.6	0.01697
337.8	0.01304
338.0	0.0126
338.2	0.01345
338.4	0.01452
338.6	0.01543
338.8	0.01634
339.0	0.0183
339.2	0.02338
339.4	0.03458
339.6	0.06388
339.8	0.15362
340.0	0.33669
340.2	0.31685
340.4	0.14851
340.6	0.07114
340.8	0.04271
341.0	0.03042
341.2	0.0242
341.4	0.02022
341.6	0.01749
341.8	0.01483
342.0	0.01222
342.2	0.0096
342.4	0.00762
342.6	0.00585
342.8	0.00478
343.0	0.00403
343.2	0.00357
343.4	0.00338
343.6	0.00325
343.8	0.00331
344.0	0.00326
344.2	0.00318
344.4	0.0031
344.6	0.00295
344.8	0.0027
345.0	0.00242
345.2	0.00208
345.4	0.00176
345.6	0.00139
345.8	0.00112
346.0	9.1344e-04
346.2	7.5392e-04
346.4	6.6652e-04
346.6	5.9985e-04
346.8	5.9849e-04
347.0	5.751e-04
347.2	6.2546e-04
347.4	6.9343e-04
347.6	8.3033e-04
347.8	0.00103
348.0	0.0013
348.2	0.00171
348.4	0.00226
348.6	0.00279
348.8	0.00341
349.0	0.00401
349.2	0.00436
349.4	0.0043
349.6	0.00391
349.8	0.00325
350.0	0.00215
350.2	0.00202
350.4	0.0019
350.6	0.00179
350.8	0.00169
351.0	0.00159
351.2	0.0015
351.4	0.00141
351.6	0.00133
351.8	0.00125
352.0	9.9335e-04
352.2	7.7443e-04
352.4	6.0376e-04
352.6	4.707e-04
352.8	3.6696e-04
353.0	2.8609e-04
353.2	2.2304e-04
353.4	1.7389e-04
353.6	1.3556e-04
353.8	1.0569e-04
354.0	9.1934e-05
354.2	8.2945e-05
354.4	7.4835e-05
354.6	6.7517e-05
354.8	6.0916e-05
355.0	5.4959e-05
355.2	4.9585e-05
355.4	4.4737e-05
355.6	4.0363e-05
355.8	3.6416e-05
356.0	3.2377e-05
356.2	2.8517e-05
356.4	2.5117e-05
356.6	2.2122e-05
356.8	1.9485e-05
357.0	1.7162e-05
357.2	1.5116e-05
357.4	1.3314e-05
357.6	1.1727e-05
357.8	1.0328e-05
358.0	9.2472e-06
358.2	8.4364e-06
358.4	7.6968e-06
358.6	7.0219e-06
358.8	6.4063e-06
359.0	5.8446e-06
359.2	5.3322e-06
359.4	4.8647e-06
359.6	4.4382e-06
359.8	4.0491e-06
360.0	2.8021e-05
360.2	2.8047e-05
360.4	2.8072e-05
360.6	2.8098e-05
360.8	2.8124e-05
361.0	2.815e-05
361.2	2.8175e-05
361.4	2.8201e-05
361.6	2.8227e-05
361.8	2.8253e-05
362.0	2.8427e-05
362.2	2.8621e-05
362.4	2.8817e-05
362.6	2.9013e-05
362.8	2.9211e-05
363.0	2.941e-05
363.2	2.9611e-05
363.4	2.9813e-05
363.6	3.0016e-05
363.8	3.0221e-05
364.0	3.0845e-05
364.2	3.1626e-05
364.4	3.2427e-05
364.6	3.3248e-05
364.8	3.4089e-05
365.0	3.4952e-05
365.2	3.5837e-05
365.4	3.6745e-05
365.6	3.7675e-05
365.8	3.8629e-05
366.0	4.1122e-05
366.2	4.4838e-05
366.4	4.8891e-05
366.6	5.331e-05
366.8	5.8129e-05
367.0	6.3383e-05
367.2	6.9112e-05
367.4	7.5359e-05
367.6	8.217e-05
367.8	8.9597e-05
368.0	1.0356e-04
368.2	1.2767e-04
368.4	1.5739e-04
368.6	1.9402e-04
368.8	2.3919e-04
369.0	2.9486e-04
369.2	3.635e-04
369.4	4.4811e-04
369.6	5.5242e-04
369.8	6.8102e-04
370.0	7.1652e-04
370.2	0.00117
370.4	0.0017
370.6	0.00155
370.8	0.00117
371.0	9.1258e-04
371.2	7.0407e-04
371.4	6.1638e-04
371.6	5.6079e-04
371.8	5.3142e-04
372.0	5.016e-04
372.2	4.9487e-04
372.4	5.3081e-04
372.6	5.5557e-04
372.8	6.0223e-04
373.0	6.3286e-04
373.2	6.764e-04
373.4	7.333e-04
373.6	7.7998e-04
373.8	8.9748e-04
374.0	0.00101
374.2	0.00124
374.4	0.00153
374.6	0.00188
374.8	0.00255
375.0	0.00365
375.2	0.00553
375.4	0.00916
375.6	0.01677
375.8	0.03449
376.0	0.06707
376.2	0.08863
376.4	0.07292
376.6	0.04836
376.8	0.03262
377.0	0.02438
377.2	0.01947
377.4	0.01622
377.6	0.01373
377.8	0.01192
378.0	0.01048
378.2	0.00953
378.4	0.00875
378.6	0.0082
378.8	0.00797
379.0	0.00789
379.2	0.00792
379.4	0.00821
379.6	0.00873
379.8	0.00932
380.0	0.00915
380.2	0.00886
380.4	0.00993
380.6	0.0114
380.8	0.01364
381.0	0.01673
381.2	0.02143
381.4	0.02808
381.6	0.03814
381.8	0.05325
382.0	0.07841
382.2	0.11863
382.4	0.18819
382.6	0.30222
382.8	0.47412
383.0	0.65588
383.2	0.7431
383.4	0.68985
383.6	0.57004
383.8	0.45922
384.0	0.37667
384.2	0.31807
384.4	0.27858
384.6	0.25229
384.8	0.23586
385.0	0.22782
385.2	0.22785
385.4	0.23393
385.6	0.24752
385.8	0.26915
386.0	0.29956
386.2	0.3408
386.4	0.39394
386.6	0.46006
386.8	0.53597
387.0	0.61938
387.2	0.70299
387.4	0.77667
387.6	0.83628
387.8	0.87854
388.0	0.9001
388.2	0.91566
388.4	0.9223
388.6	0.92605
388.8	0.93249
389.0	0.93654
389.2	0.94324
389.4	0.9491
389.6	0.95387
389.8	0.95895
390.0	0.9592
390.2	0.95914
390.4	0.95908
390.6	0.95902
390.8	0.95897
391.0	0.95891
391.2	0.95885
391.4	0.95879
391.6	0.96029
391.8	0.96342
392.0	0.96533
392.2	0.96791
392.4	0.96827
392.6	0.96913
392.8	0.96923
393.0	0.96734
393.2	0.96563
393.4	0.96556
393.6	0.96484
393.8	0.96392
394.0	0.96428
394.2	0.96496
394.4	0.9673
394.6	0.9673
394.8	0.96881
395.0	0.97132
395.2	0.972
395.4	0.97258
395.6	0.97349
395.8	0.97215
396.0	0.97114
396.2	0.96956
396.4	0.96791
396.6	0.96432
396.8	0.96409
397.0	0.96217
397.2	0.96075
397.4	0.95834
397.6	0.95749
397.8	0.95698
398.0	0.95734
398.2	0.96004
398.4	0.96021
398.6	0.9628
398.8	0.96407
399.0	0.96489
399.2	0.96655
399.4	0.96762
399.6	0.9675
399.8	0.96814
400.0	0.96774
400.2	0.96774
400.4	0.96708
400.6	0.9662
400.8	0.9664
401.0	0.96462
401.2	0.96601
401.4	0.96676
401.6	0.96999
401.8	0.96965
402.0	0.97191
402.2	0.97478
402.4	0.9745
402.6	0.97762
402.8	0.97801
403.0	0.97836
403.2	0.97902
403.4	0.97789
403.6	0.97628
403.8	0.97352
404.0	0.97173
404.2	0.96869
404.4	0.96819
404.6	0.96779
404.8	0.96636
405.0	0.96711
405.2	0.96676
405.4	0.96782
405.6	0.97005
405.8	0.97222
406.0	0.97405
406.2	0.97504
406.4	0.9762
406.6	0.97764
406.8	0.97978
407.0	0.97973
407.2	0.98091
407.4	0.98003
407.6	0.97947
407.8	0.97835
408.0	0.97635
408.2	0.97428
408.4	0.97086
408.6	0.97099
408.8	0.97001
409.0	0.96834
409.2	0.96766
409.4	0.96983
409.6	0.96967
409.8	0.97082
410.0	0.97194
410.2	0.97457
410.4	0.97619
410.6	0.97796
410.8	0.98019
411.0	0.982
411.2	0.98325
411.4	0.98414
411.6	0.98294
411.8	0.98217
412.0	0.98088
412.2	0.97923
412.4	0.97736
412.6	0.97611
412.8	0.97466
413.0	0.97476
413.2	0.97438
413.4	0.97348
413.6	0.97398
413.8	0.97474
414.0	0.97675
414.2	0.97698
414.4	0.97804
414.6	0.97967
414.8	0.98122
415.0	0.9811
415.2	0.98275
415.4	0.98227
415.6	0.98317
415.8	0.98168
416.0	0.98092
416.2	0.98186
